node_key,item_pos,parent_key_node_key,prod_guid_node_key,currency_code,gross_amt,tax_amt,net_amt
02BD2137-0890-1EEA-A6C2-BB55C1979338,10,02BD2137-0890-1EEA-A6C2-BB55C1978999,74867AD200E41EDBA5D8B06B26F60052,ARS,154.7,24.7,130
02BD2137-0890-1EEA-A6C2-BB55C1979339,20,02BD2137-0890-1EEA-A6C2-BB55C1978999,74867AD200E41EDBA5D8B06B26F06052,ARS,402.22,64.22,338
02BD2137-0890-1EEA-A6C2-BB55C1979340,30,02BD2137-0890-1EEA-A6C2-BB55C1978999,74867AD200E41EDBA5D8B06B26F60052,ARS,309.4,49.4,260
02BD2137-0890-1EEA-A6C2-BB55C1979341,40,02BD2137-0890-1EEA-A6C2-BB55C1978999,74867AD200E41EDBA5D8B06B26F06052,ARS,402.22,64.22,338
02BD2137-0890-1EEA-A6C2-BB55C1979342,50,02BD2137-0890-1EEA-A6C2-BB55C1978999,74867AD200E41EDBA5D8B06B26F60052,ARS,464.1,74.1,390
02BD2137-0890-1EEA-A6C2-BB55C1979343,60,02BD2137-0890-1EEA-A6C2-BB55C1978999,74867AD200E41EDBA5D8B06B26F06052,ARS,402.22,64.22,338
02BD2137-0890-1EEA-A6C2-BB55C1979344,70,02BD2137-0890-1EEA-A6C2-BB55C1978999,74867AD200E41EDBA5D8B06B26F60052,ARS,309.4,49.4,260
02BD2137-0890-1EEA-A6C2-BB55C1979345,80,02BD2137-0890-1EEA-A6C2-BB55C1978999,74867AD200E41EDBA5D8B06B26F06052,ARS,402.22,64.22,338
02BD2137-0890-1EEA-A6C2-BB55C1979346,90,02BD2137-0890-1EEA-A6C2-BB55C1978999,74867AD200E41EDBA5D8B06B26F60052,ARS,464.1,74.1,390
02BD2137-0890-1EEA-A6C2-BB55C1979347,100,02BD2137-0890-1EEA-A6C2-BB55C1978999,74867AD200E41EDBA5D8B06B26F06052,ARS,603.33,96.33,507
02BD2137-0890-1EEA-A6C2-BB55C1979348,10,02BD2137-0890-1EEA-A6C2-BB55C1979000,74867AD200E41EDBA5D8B06B26F96052,EUR,1425.62,227.62,1198
02BD2137-0890-1EEA-A6C2-BB55C1979349,20,02BD2137-0890-1EEA-A6C2-BB55C1979000,74867AD200E41EDBA5D8B06B26EE2052,EUR,117.81,18.81,99
02BD2137-0890-1EEA-A6C2-BB55C1979350,30,02BD2137-0890-1EEA-A6C2-BB55C1979000,74867AD200E41EDBA5D8B06B26F3C052,EUR,11900,1900,10000
02BD2137-0890-1EEA-A6C2-BB55C1979351,40,02BD2137-0890-1EEA-A6C2-BB55C1979000,74867AD200E41EDBA5D8B06B26F96052,EUR,1425.62,227.62,1198
02BD2137-0890-1EEA-A6C2-BB55C1979352,50,02BD2137-0890-1EEA-A6C2-BB55C1979000,74867AD200E41EDBA5D8B06B26EE2052,EUR,235.62,37.62,198
02BD2137-0890-1EEA-A6C2-BB55C1979353,60,02BD2137-0890-1EEA-A6C2-BB55C1979000,74867AD200E41EDBA5D8B06B26F3C052,EUR,11900,1900,10000
02BD2137-0890-1EEA-A6C2-BB55C1979354,70,02BD2137-0890-1EEA-A6C2-BB55C1979000,74867AD200E41EDBA5D8B06B26F96052,EUR,2138.43,341.43,1797
02BD2137-0890-1EEA-A6C2-BB55C1979355,80,02BD2137-0890-1EEA-A6C2-BB55C1979000,74867AD200E41EDBA5D8B06B26EE2052,EUR,353.43,56.43,297
02BD2137-0890-1EEA-A6C2-BB55C1979356,90,02BD2137-0890-1EEA-A6C2-BB55C1979000,74867AD200E41EDBA5D8B06B26F3C052,EUR,11900,1900,10000
02BD2137-0890-1EEA-A6C2-BB55C1979357,100,02BD2137-0890-1EEA-A6C2-BB55C1979000,74867AD200E41EDBA5D8B06B26F96052,EUR,2138.43,341.43,1797
02BD2137-0890-1EEA-A6C2-BB55C1979358,10,02BD2137-0890-1EEA-A6C2-BB55C1979001,74867AD200E41EDBA5D8B06B26F64052,DKK,2424.03,387.03,2037
02BD2137-0890-1EEA-A6C2-BB55C1979359,20,02BD2137-0890-1EEA-A6C2-BB55C1979001,74867AD200E41EDBA5D8B06B26F0A052,DKK,1783.81,284.81,1499
02BD2137-0890-1EEA-A6C2-BB55C1979360,30,02BD2137-0890-1EEA-A6C2-BB55C1979001,74867AD200E41EDBA5D8B06B26F64052,DKK,1616.02,258.02,1358
02BD2137-0890-1EEA-A6C2-BB55C1979361,40,02BD2137-0890-1EEA-A6C2-BB55C1979001,74867AD200E41EDBA5D8B06B26F0A052,DKK,3567.62,569.62,2998
02BD2137-0890-1EEA-A6C2-BB55C1979362,50,02BD2137-0890-1EEA-A6C2-BB55C1979001,74867AD200E41EDBA5D8B06B26F64052,DKK,808.01,129.01,679
02BD2137-0890-1EEA-A6C2-BB55C1979363,60,02BD2137-0890-1EEA-A6C2-BB55C1979001,74867AD200E41EDBA5D8B06B26F0A052,DKK,3567.62,569.62,2998
02BD2137-0890-1EEA-A6C2-BB55C1979364,70,02BD2137-0890-1EEA-A6C2-BB55C1979001,74867AD200E41EDBA5D8B06B26F64052,DKK,808.01,129.01,679
02BD2137-0890-1EEA-A6C2-BB55C1979365,80,02BD2137-0890-1EEA-A6C2-BB55C1979001,74867AD200E41EDBA5D8B06B26F0A052,DKK,3567.62,569.62,2998
02BD2137-0890-1EEA-A6C2-BB55C1979366,10,02BD2137-0890-1EEA-A6C2-BB55C1979002,74867AD200E41EDBA5D8B06B26F80052,GBP,3566.43,569.43,2997
02BD2137-0890-1EEA-A6C2-BB55C1979367,20,02BD2137-0890-1EEA-A6C2-BB55C1979002,74867AD200E41EDBA5D8B06B26ECC052,GBP,1017.45,162.45,855
02BD2137-0890-1EEA-A6C2-BB55C1979368,30,02BD2137-0890-1EEA-A6C2-BB55C1979002,74867AD200E41EDBA5D8B06B26F26052,GBP,139.23,22.23,117
02BD2137-0890-1EEA-A6C2-BB55C1979369,40,02BD2137-0890-1EEA-A6C2-BB55C1979002,74867AD200E41EDBA5D8B06B26F80052,GBP,1188.81,189.81,999
02BD2137-0890-1EEA-A6C2-BB55C1979370,50,02BD2137-0890-1EEA-A6C2-BB55C1979002,74867AD200E41EDBA5D8B06B26ECC052,GBP,339.15,54.15,285
02BD2137-0890-1EEA-A6C2-BB55C1979371,10,02BD2137-0890-1EEA-A6C2-BB55C1979003,74867AD200E41EDBA5D8B06B26F6E052,EUR,107.08,17.1,89.98
02BD2137-0890-1EEA-A6C2-BB55C1979372,20,02BD2137-0890-1EEA-A6C2-BB55C1979003,74867AD200E41EDBA5D8B06B26F14052,EUR,95.08,15.18,79.9
02BD2137-0890-1EEA-A6C2-BB55C1979373,30,02BD2137-0890-1EEA-A6C2-BB55C1979003,74867AD200E41EDBA5D8B06B26EBA052,EUR,3927,627,3300
02BD2137-0890-1EEA-A6C2-BB55C1979374,40,02BD2137-0890-1EEA-A6C2-BB55C1979003,74867AD200E41EDBA5D8B06B26F6E052,EUR,53.54,8.55,44.99
02BD2137-0890-1EEA-A6C2-BB55C1979375,50,02BD2137-0890-1EEA-A6C2-BB55C1979003,74867AD200E41EDBA5D8B06B26F14052,EUR,285.24,45.54,239.7
02BD2137-0890-1EEA-A6C2-BB55C1979376,10,02BD2137-0890-1EEA-A6C2-BB55C1979004,74867AD200E41EDBA5D8B06B26F10052,EUR,53.55,8.55,45
02BD2137-0890-1EEA-A6C2-BB55C1979377,20,02BD2137-0890-1EEA-A6C2-BB55C1979004,74867AD200E41EDBA5D8B06B26EB6052,EUR,2972.62,474.62,2498
02BD2137-0890-1EEA-A6C2-BB55C1979378,30,02BD2137-0890-1EEA-A6C2-BB55C1979004,74867AD200E41EDBA5D8B06B26F6A052,EUR,21.4,3.42,17.98
02BD2137-0890-1EEA-A6C2-BB55C1979379,40,02BD2137-0890-1EEA-A6C2-BB55C1979004,74867AD200E41EDBA5D8B06B26F10052,EUR,160.65,25.65,135
02BD2137-0890-1EEA-A6C2-BB55C1979380,50,02BD2137-0890-1EEA-A6C2-BB55C1979004,74867AD200E41EDBA5D8B06B26EB6052,EUR,2972.62,474.62,2498
02BD2137-0890-1EEA-A6C2-BB55C1979381,60,02BD2137-0890-1EEA-A6C2-BB55C1979004,74867AD200E41EDBA5D8B06B26F6A052,EUR,21.4,3.42,17.98
02BD2137-0890-1EEA-A6C2-BB55C1979382,70,02BD2137-0890-1EEA-A6C2-BB55C1979004,74867AD200E41EDBA5D8B06B26F10052,EUR,160.65,25.65,135
02BD2137-0890-1EEA-A6C2-BB55C1979383,10,02BD2137-0890-1EEA-A6C2-BB55C1979005,74867AD200E41EDBA5D8B06B26F2E052,MXN,210.63,33.63,177
02BD2137-0890-1EEA-A6C2-BB55C1979384,20,02BD2137-0890-1EEA-A6C2-BB55C1979005,74867AD200E41EDBA5D8B06B26ED4052,MXN,1463.7,233.7,1230
02BD2137-0890-1EEA-A6C2-BB55C1979385,30,02BD2137-0890-1EEA-A6C2-BB55C1979005,74867AD200E41EDBA5D8B06B26F88052,MXN,2673.93,426.93,2247
02BD2137-0890-1EEA-A6C2-BB55C1979386,10,02BD2137-0890-1EEA-A6C2-BB55C1979006,74867AD200E41EDBA5D8B06B26F00052,EUR,333.18,53.2,279.98
02BD2137-0890-1EEA-A6C2-BB55C1979387,20,02BD2137-0890-1EEA-A6C2-BB55C1979006,74867AD200E41EDBA5D8B06B26F5A052,EUR,224.91,35.91,189
02BD2137-0890-1EEA-A6C2-BB55C1979388,30,02BD2137-0890-1EEA-A6C2-BB55C1979006,74867AD200E41EDBA5D8B06B26F00052,EUR,166.59,26.6,139.99
02BD2137-0890-1EEA-A6C2-BB55C1979389,40,02BD2137-0890-1EEA-A6C2-BB55C1979006,74867AD200E41EDBA5D8B06B26F5A052,EUR,149.94,23.94,126
02BD2137-0890-1EEA-A6C2-BB55C1979390,50,02BD2137-0890-1EEA-A6C2-BB55C1979006,74867AD200E41EDBA5D8B06B26F00052,EUR,333.18,53.2,279.98
02BD2137-0890-1EEA-A6C2-BB55C1979391,60,02BD2137-0890-1EEA-A6C2-BB55C1979006,74867AD200E41EDBA5D8B06B26F5A052,EUR,74.97,11.97,63
02BD2137-0890-1EEA-A6C2-BB55C1979392,70,02BD2137-0890-1EEA-A6C2-BB55C1979006,74867AD200E41EDBA5D8B06B26F00052,EUR,499.76,79.79,419.97
02BD2137-0890-1EEA-A6C2-BB55C1979393,80,02BD2137-0890-1EEA-A6C2-BB55C1979006,74867AD200E41EDBA5D8B06B26F5A052,EUR,74.97,11.97,63
02BD2137-0890-1EEA-A6C2-BB55C1979394,10,02BD2137-0890-1EEA-A6C2-BB55C1979007,74867AD200E41EDBA5D8B06B26ED2052,CAD,1023.4,163.4,860
02BD2137-0890-1EEA-A6C2-BB55C1979395,20,02BD2137-0890-1EEA-A6C2-BB55C1979007,74867AD200E41EDBA5D8B06B26F86052,CAD,0,0,0
02BD2137-0890-1EEA-A6C2-BB55C1979396,30,02BD2137-0890-1EEA-A6C2-BB55C1979007,74867AD200E41EDBA5D8B06B26F2C052,CAD,116.62,18.62,98
02BD2137-0890-1EEA-A6C2-BB55C1979397,40,02BD2137-0890-1EEA-A6C2-BB55C1979007,74867AD200E41EDBA5D8B06B26ED2052,CAD,1535.1,245.1,1290
02BD2137-0890-1EEA-A6C2-BB55C1979398,50,02BD2137-0890-1EEA-A6C2-BB55C1979007,74867AD200E41EDBA5D8B06B26F86052,CAD,0,0,0
02BD2137-0890-1EEA-A6C2-BB55C1979399,60,02BD2137-0890-1EEA-A6C2-BB55C1979007,74867AD200E41EDBA5D8B06B26F2C052,CAD,116.62,18.62,98
02BD2137-0890-1EEA-A6C2-BB55C1979400,10,02BD2137-0890-1EEA-A6C2-BB55C1979008,74867AD200E41EDBA5D8B06B26EC8052,USD,1218.56,194.56,1024
02BD2137-0890-1EEA-A6C2-BB55C1979401,20,02BD2137-0890-1EEA-A6C2-BB55C1979008,74867AD200E41EDBA5D8B06B26F22052,USD,21.18,3.38,17.8
02BD2137-0890-1EEA-A6C2-BB55C1979402,30,02BD2137-0890-1EEA-A6C2-BB55C1979008,74867AD200E41EDBA5D8B06B26F7C052,USD,188.02,30.02,158
02BD2137-0890-1EEA-A6C2-BB55C1979403,10,02BD2137-0890-1EEA-A6C2-BB55C1979009,74867AD200E41EDBA5D8B06B26ED8052,ARS,1166.2,186.2,980
02BD2137-0890-1EEA-A6C2-BB55C1979404,20,02BD2137-0890-1EEA-A6C2-BB55C1979009,74867AD200E41EDBA5D8B06B26F32052,ARS,83.3,13.3,70
02BD2137-0890-1EEA-A6C2-BB55C1979405,30,02BD2137-0890-1EEA-A6C2-BB55C1979009,74867AD200E41EDBA5D8B06B26F8C052,ARS,2259.81,360.81,1899
02BD2137-0890-1EEA-A6C2-BB55C1979406,40,02BD2137-0890-1EEA-A6C2-BB55C1979009,74867AD200E41EDBA5D8B06B26ED8052,ARS,1166.2,186.2,980
02BD2137-0890-1EEA-A6C2-BB55C1979407,50,02BD2137-0890-1EEA-A6C2-BB55C1979009,74867AD200E41EDBA5D8B06B26F32052,ARS,83.3,13.3,70
02BD2137-0890-1EEA-A6C2-BB55C1979408,60,02BD2137-0890-1EEA-A6C2-BB55C1979009,74867AD200E41EDBA5D8B06B26F8C052,ARS,753.27,120.27,633
02BD2137-0890-1EEA-A6C2-BB55C1979409,70,02BD2137-0890-1EEA-A6C2-BB55C1979009,74867AD200E41EDBA5D8B06B26ED8052,ARS,1749.3,279.3,1470
02BD2137-0890-1EEA-A6C2-BB55C1979410,10,02BD2137-0890-1EEA-A6C2-BB55C1979010,74867AD200E41EDBA5D8B06B26F54052,ARS,34.51,5.51,29
02BD2137-0890-1EEA-A6C2-BB55C1979411,20,02BD2137-0890-1EEA-A6C2-BB55C1979010,74867AD200E41EDBA5D8B06B26EFA052,ARS,253.11,40.41,212.7
02BD2137-0890-1EEA-A6C2-BB55C1979412,30,02BD2137-0890-1EEA-A6C2-BB55C1979010,74867AD200E41EDBA5D8B06B26F54052,ARS,103.53,16.53,87
02BD2137-0890-1EEA-A6C2-BB55C1979413,40,02BD2137-0890-1EEA-A6C2-BB55C1979010,74867AD200E41EDBA5D8B06B26EFA052,ARS,84.37,13.47,70.9
02BD2137-0890-1EEA-A6C2-BB55C1979414,10,02BD2137-0890-1EEA-A6C2-BB55C1979011,74867AD200E41EDBA5D8B06B26F9E052,ARS,2322.88,370.88,1952
02BD2137-0890-1EEA-A6C2-BB55C1979415,20,02BD2137-0890-1EEA-A6C2-BB55C1979011,74867AD200E41EDBA5D8B06B26F44052,ARS,2853.62,455.62,2398
02BD2137-0890-1EEA-A6C2-BB55C1979416,30,02BD2137-0890-1EEA-A6C2-BB55C1979011,74867AD200E41EDBA5D8B06B26EEA052,ARS,26.18,4.18,22
02BD2137-0890-1EEA-A6C2-BB55C1979417,40,02BD2137-0890-1EEA-A6C2-BB55C1979011,74867AD200E41EDBA5D8B06B26F9E052,ARS,3484.32,556.32,2928
02BD2137-0890-1EEA-A6C2-BB55C1979418,50,02BD2137-0890-1EEA-A6C2-BB55C1979011,74867AD200E41EDBA5D8B06B26F44052,ARS,2853.62,455.62,2398
02BD2137-0890-1EEA-A6C2-BB55C1979419,60,02BD2137-0890-1EEA-A6C2-BB55C1979011,74867AD200E41EDBA5D8B06B26EEA052,ARS,26.18,4.18,22
02BD2137-0890-1EEA-A6C2-BB55C1979420,70,02BD2137-0890-1EEA-A6C2-BB55C1979011,74867AD200E41EDBA5D8B06B26F9E052,ARS,1161.44,185.44,976
